filerName,filing,submissionType,reportPeriod,filedDate,normalizedIssuer,normalizedTitleOfClass,issuerSIC,issuerSector,issuerTicker,issuerQkid,value,shrsOrPrnAmt,putCall,shrsOrPrnAmtType,portWgt,hasOtherManager,QtrsHeld,QOQSshPrnAmt,QOQValue,QOQPortWgt,newOrDel
SG Capital Management LLC,edgar/data/1510099/0001172661-24-002552.txt,13F-HR/A,20240331,20240607,STRIDE INC,COM,8200,CD,LRN,0001157408.0000.001SNN4P5,5137440,81482,,SH,0.01682387,FALSE,4,-380291,-22278023,-0.0645318,
SG Capital Management LLC,edgar/data/1510099/0001172661-24-002552.txt,13F-HR/A,20240331,20240607,UPBOUND GROUP INC,COM,7359,IN,UPBD,0000933036.0000.001S6BR38,12198117,346439,,SH,0.03994587,FALSE,1,346439,12198117,0.03994587,NEW
SG Capital Management LLC,edgar/data/1510099/0001172661-24-002552.txt,13F-HR/A,20240331,20240607,AVIDXCHANGE HOLDINGS INC,COM,7372,TE,AVDX,0001858257.0000.012MBDGV1,0,0,,SH,0,FALSE,1,-159438,-1975437,-0.00586213,DEL
SG Capital Management LLC,edgar/data/1510099/0001172661-24-002552.txt,13F-HR/A,20240331,20240607,LENDINGTREE INC NEW,COM,6163,FI,TREE,0001434621.0000.001SP2FG8,0,0,,SH,0,FALSE,1,-39452,-1196185,-0.00354969,DEL
SG Capital Management LLC,edgar/data/1510099/0001172661-24-002552.txt,13F-HR/A,20240331,20240607,PROTO LABS INC,COM,3440,IN,PRLB,0001443669.0000.001SRZTG8,0,0,,SH,0,FALSE,1,-8689,-338523,-0.00100457,DEL
SG Capital Management LLC,edgar/data/1510099/0001172661-24-002552.txt,13F-HR/A,20240331,20240607,ANGIODYNAMICS INC,COM,3841,IN,ANGO,0001275187.0000.001S5RPY3,0,0,,SH,0,FALSE,2,-51702,-405344,-0.00120286,DEL
SG Capital Management LLC,edgar/data/1510099/0001172661-24-002552.txt,13F-HR/A,20240331,20240607,CARPENTER TECHNOLOGY CORP,COM,3312,MA,CRS,0000017843.0000.001S5Q5M1,0,0,,SH,0,FALSE,3,-58889,-4169341,-0.01237256,DEL
SG Capital Management LLC,edgar/data/1510099/0001172661-24-002552.txt,13F-HR/A,20240331,20240607,GRAND CANYON ED INC,COM,8200,CD,LOPE,0001434588.0000.001T01JZ4,0,0,,SH,0,FALSE,1,-30139,-3979554,-0.01180937,DEL
SG Capital Management LLC,edgar/data/1510099/0001172661-24-002552.txt,13F-HR/A,20240331,20240607,ALLEGRO MICROSYSTEMS INC,COM,3674,TE,ALGM,0000866291.0000.00H5S83B8,0,0,,SH,0,FALSE,1,-371189,-11235891,-0.03334262,DEL
SG Capital Management LLC,edgar/data/1510099/0001172661-24-002552.txt,13F-HR/A,20240331,20240607,NAPCO SEC TECHNOLOGIES INC,COM,3669,CO,NSSC,0000069633.0000.001S5TR13,0,0,,SH,0,FALSE,1,-145079,-4968956,-0.01474543,DEL
SG Capital Management LLC,edgar/data/1510099/0001172661-24-002552.txt,13F-HR/A,20240331,20240607,MAXIMUS INC,COM,7389,IN,MMS,0001032220.0000.001S6G4K5,0,0,,SH,0,FALSE,2,-47074,-3947626,-0.01171462,DEL
SG Capital Management LLC,edgar/data/1510099/0001172661-24-002552.txt,13F-HR/A,20240331,20240607,OSI SYSTEMS INC,COM,3674,TE,OSIS,0001039065.0000.001SB1J54,0,0,,SH,0,FALSE,4,-75919,-9797347,-0.02907373,DEL
SG Capital Management LLC,edgar/data/1510099/0001172661-24-002552.txt,13F-HR/A,20240331,20240607,GENTEX CORP,COM,3714,CD,GNTX,0000355811.0000.001S5RMR8,0,0,,SH,0,FALSE,3,-497572,-16250702,-0.04822412,DEL
SG Capital Management LLC,edgar/data/1510099/0001172661-24-002552.txt,13F-HR/A,20240331,20240607,MCGRATH RENTCORP,COM,7359,IN,MGRC,0000752714.0000.001S5T593,0,0,,SH,0,FALSE,7,-16332,-1953634,-0.00579743,DEL
SG Capital Management LLC,edgar/data/1510099/0001172661-24-002552.txt,13F-HR/A,20240331,20240607,TTM TECHNOLOGIES INC,COM,3672,TE,TTMI,0001116942.0000.001SFJKF2,0,0,,SH,0,FALSE,3,-103305,-1633252,-0.00484669,DEL
SG Capital Management LLC,edgar/data/1510099/0001172661-24-002552.txt,13F-HR/A,20240331,20240607,MODINE MFG CO,COM,3714,CD,MOD,0000067347.0000.001S5T913,0,0,,SH,0,FALSE,4,-207994,-12417242,-0.03684829,DEL
SG Capital Management LLC,edgar/data/1510099/0001172661-24-002552.txt,13F-HR/A,20240331,20240607,EXLSERVICE HOLDINGS INC,COM,7389,IN,EXLS,0001297989.0000.001SKWX40,0,0,,SH,0,FALSE,1,-152381,-4700954,-0.01395013,DEL
SG Capital Management LLC,edgar/data/1510099/0001172661-24-002552.txt,13F-HR/A,20240331,20240607,CARGURUS INC,COM CL A,7374,IN,CARG,0001494259.0000.00HQ77DT1,4221794,182920,,SH,0.01382535,FALSE,1,182920,4221794,0.01382535,NEW
SG Capital Management LLC,edgar/data/1510099/0001172661-24-002552.txt,13F-HR/A,20240331,20240607,PETIQ INC,COM CL A,5122,HC,PETQ,0001668673.0000.00H1CY3S0,8182841,447639,,SH,0.02679682,FALSE,9,310258,5469566,0.01874514,
SG Capital Management LLC,edgar/data/1510099/0001172661-24-002552.txt,13F-HR/A,20240331,20240607,PETIQ INC,COM CL A,5122,HC,PETQ,0001668673.000P.00H1CY3S0,36560,2000,PUT,SH,0.00011973,FALSE,1,2000,36560,0.00011973,NEW
SG Capital Management LLC,edgar/data/1510099/0001172661-24-002552.txt,13F-HR/A,20240331,20240607,ALPHATEC HLDGS INC,COM NEW,3841,IN,ATEC,0001350653.0000.001S64XQ8,389112,28217,,SH,0.00127425,FALSE,2,-212421,-3246928,-0.00951574,
SG Capital Management LLC,edgar/data/1510099/0001172661-24-002552.txt,13F-HR/A,20240331,20240607,KORN FERRY,COM NEW,7361,IN,KFY,0000056679.0000.001SC0054,6777028,103057,,SH,0.02219312,FALSE,1,103057,6777028,0.02219312,NEW
SG Capital Management LLC,edgar/data/1510099/0001172661-24-002552.txt,13F-HR/A,20240331,20240607,XEROX HOLDINGS CORP,COM NEW,3577,TE,XRX,0001770450.0000.00NNG2ZK6,8466288,472977,,SH,0.02772504,FALSE,1,472977,8466288,0.02772504,NEW
SG Capital Management LLC,edgar/data/1510099/0001172661-24-002552.txt,13F-HR/A,20240331,20240607,AVIAT NETWORKS INC,COM NEW,3663,CO,AVNW,0001377789.0000.001SSSZS7,0,0,,SH,0,FALSE,2,-10978,-358541,-0.00106397,DEL
SG Capital Management LLC,edgar/data/1510099/0001172661-24-002552.txt,13F-HR/A,20240331,20240607,PROG HOLDINGS INC,COM NPV,7359,IN,PRG,0001808834.0000.00VSH86H3,5931532,172228,,SH,0.01942433,FALSE,1,172228,5931532,0.01942433,NEW
SG Capital Management LLC,edgar/data/1510099/0001172661-24-002552.txt,13F-HR/A,20240331,20240607,NCR ATLEOS CORPORATION,COM SHS,3578,TE,,0001974138.0000.UF009112A,2226793,112749,,SH,0.00729221,FALSE,1,112749,2226793,0.00729221,NEW
SG Capital Management LLC,edgar/data/1510099/0001172661-24-002552.txt,13F-HR/A,20240331,20240607,MERIDIANLINK INC,COMMON STOCK,7372,TE,MLNK,0001834494.0000.002ZYMKR4,2116765,113196,,SH,0.00693189,FALSE,1,113196,2116765,0.00693189,NEW
SG Capital Management LLC,edgar/data/1510099/0001172661-24-002552.txt,13F-HR/A,20240331,20240607,RXO INC,COMMON STOCK,4700,IN,RXO,0001929561.0000.0160DYDC7,4677818,213892,,SH,0.01531872,FALSE,2,124525,2599142,0.00915023,
SG Capital Management LLC,edgar/data/1510099/0001172661-24-002552.txt,13F-HR/A,20240331,20240607,MARINEMAX INC,COM,5531,CD,HZO,0001057060.000P.001SBS2N2,66520,2000,PUT,SH,0.00021784,FALSE,1,2000,66520,0.00021784,NEW
SG Capital Management LLC,edgar/data/1510099/0001172661-24-002552.txt,13F-HR/A,20240331,20240607,PROGRESS SOFTWARE CORP,COM,7372,TE,PRGS,0000876167.000P.001S6MCY5,346515,6500,PUT,SH,0.00113475,FALSE,1,6500,346515,0.00113475,NEW
SG Capital Management LLC,edgar/data/1510099/0001172661-24-002552.txt,13F-HR/A,20240331,20240607,GENTEX CORP,COM,3714,CD,GNTX,0000355811.000P.001S5RMR8,0,0,PUT,SH,0,FALSE,1,-210000,-6858600,-0.02035297,DEL
SG Capital Management LLC,edgar/data/1510099/0001172661-24-002552.txt,13F-HR/A,20240331,20240607,STRIDE INC,COM,8200,CD,LRN,0001157408.000P.001SNN4P5,0,0,PUT,SH,0,FALSE,1,-155000,-9202350,-0.02730807,DEL
SG Capital Management LLC,edgar/data/1510099/0001172661-24-002552.txt,13F-HR/A,20240331,20240607,TERADATA CORP DEL,COM,7372,TE,TDC,0000816761.000P.001SPRJ28,0,0,PUT,SH,0,FALSE,1,-206000,-8963060,-0.02659797,DEL
SG Capital Management LLC,edgar/data/1510099/0001172661-24-002552.txt,13F-HR/A,20240331,20240607,ALLEGRO MICROSYSTEMS INC,COM,3674,TE,ALGM,0000866291.000P.00H5S83B8,0,0,PUT,SH,0,FALSE,1,-158000,-4782660,-0.01419259,DEL
SG Capital Management LLC,edgar/data/1510099/0001172661-24-002552.txt,13F-HR/A,20240331,20240607,MASTEC INC,COM,1623,IN,MTZ,0000015615.000P.001S95HF8,0,0,PUT,SH,0,FALSE,1,-103000,-7799160,-0.02314409,DEL
SG Capital Management LLC,edgar/data/1510099/0001172661-24-002552.txt,13F-HR/A,20240331,20240607,ADTALEM GLOBAL ED INC,COM,8200,CD,ATGE,0000730464.000P.001S8M5S3,0,0,PUT,SH,0,FALSE,2,-200000,-11790000,-0.03498695,DEL
SG Capital Management LLC,edgar/data/1510099/0001172661-24-002552.txt,13F-HR/A,20240331,20240607,FLOWERS FOODS INC,COM,2000,CS,FLO,0001128928.000P.001S5R7L7,0,0,PUT,SH,0,FALSE,1,-259000,-5830090,-0.01730085,DEL
SG Capital Management LLC,edgar/data/1510099/0001172661-24-002552.txt,13F-HR/A,20240331,20240607,TRANSOCEAN LTD,REG SHS,1381,EN,RIG,0001451505.0000.UF007166A,0,0,,SH,0,FALSE,6,-378331,-2402402,-0.00712915,DEL
SG Capital Management LLC,edgar/data/1510099/0001172661-24-002552.txt,13F-HR/A,20240331,20240607,WNS HLDGS LTD,SPON ADR,7389,IN,WNS,0001356570.0000.01M1K52F8,0,0,,SH,0,FALSE,2,-135154,-8541733,-0.02534768,DEL
SG Capital Management LLC,edgar/data/1510099/0001172661-24-002552.txt,13F-HR/A,20240331,20240607,CELESTICA INC,SUB VTG SHS,3672,TE,CLS,0001030894.0000.001S9CXM7,22267231,495488,,SH,0.07291977,FALSE,3,-493923,-6702723,-0.01304886,
