filerName,filing,submissionType,reportPeriod,filedDate,inclMgrs,normalizedIssuer,normalizedTitleOfClass,issuerSIC,issuerSector,issuerTicker,issuerQkid,value,shrsOrPrnAmt,putCall,shrsOrPrnAmtType,invDiscretion,votingAuthSole,votingAuthShared,votingAuthNone,portWgt,hasOtherManager,otherManager,otherManagerFileNumber,QtrsHeld,QOQSshPrnAmt,QOQValue,QOQPortWgt,newOrDel
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,10X CAPITAL VENTURE ACQ III,*W EXP 06/30/202,6770,NA,VCXB,0001848948.0010.UF007040A,18713,375000,,SH,DFND,375000,0,0,0.00000016,TRUE,1,028-05394,9,0,-2400,-0.00000002,
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,ABACUS LIFE INC,*W EXP 06/30/202,6282,FI,ABLLW,0001814287.0010.00X8S1470,604429,929890,,SH,DFND,929890,0,0,0.00000517,TRUE,1,028-05394,3,200000,64310,0.00000045,
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,BITCOIN DEPOT INC,*W EXP 06/30/202,6199,FI,BTMWW,0001901799.0010.015LHHQ55,119996,1264445,,SH,DFND,1264445,0,0,0.00000103,TRUE,1,028-05394,3,-85555,-69004,-0.00000062,
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,QUADRO ACQUISITION ONE CORP,*W EXP 06/30/202,6770,NA,KAII,0001825962.0010.UF010538A,3198,85514,,SH,DFND,85514,0,0,0.00000003,TRUE,1,028-05394,12,0,1462,0.00000001,
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,BYNORDIC ACQUISITION CORP,*W EXP 07/01/202,6770,NA,BYNOW,0001801417.0010.016HPHTC6,42323,742500,,SH,DFND,742500,0,0,0.00000036,TRUE,1,028-05394,8,0,-46777,-0.00000042,
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,IMMATICS N.V,*W EXP 07/01/202,2836,HC,IMTXW,0001809196.0010.00VTL9Y81,858060,330023,,SH,DFND,330023,0,0,0.00000734,TRUE,1,028-05394,8,-16495,-153773,-0.0000015,
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,LIFEZONE METALS LIMITED,*W EXP 07/05/202,1000,MA,,0001958217.0010.UF010559A,108138,166366,,SH,DFND,166366,0,0,0.00000093,TRUE,1,028-05394,3,-300,18972,0.00000015,
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,DUET ACQUISITION CORP,*W EXP 07/19/202,6770,NA,DUETW,0001890671.0010.0160D8J88,8246,273958,,SH,DFND,273958,0,0,0.00000007,TRUE,1,028-05394,9,0,-5452,-0.00000005,
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,OPPFI INC,*W EXP 07/20/202,6199,FI,OPFI,0001818502.0010.UF008069A,55625,695312,,SH,DFND,695312,0,0,0.00000048,TRUE,1,028-05394,8,152667,-156007,-0.00000137,
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,AEON BIOPHARMA INC,*W EXP 07/21/202,2834,HC,,0001837607.0010.UF007425A,223926,154432,,SH,DFND,154432,0,0,0.00000192,TRUE,1,028-05394,3,0,208498,0.00000178,
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,GENEDX HOLDINGS CORP,*W EXP 07/22/202,8000,HC,WGSWW,0001818331.0010.00XZQN5C1,25696,467197,,SH,DFND,467197,0,0,0.00000022,TRUE,1,028-05394,11,0,20136,0.00000017,
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,TORTOISEECOFIN ACQUISITION C,*W EXP 07/22/202,6770,NA,TRTL,0001847112.0010.UF007063A,76923,742500,,SH,DFND,742500,0,0,0.00000066,TRUE,1,028-05394,11,0,10915,0.00000008,
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,WALDENCAST PLC,*W EXP 07/27/202,2844,CS,WALDW,0001840199.0010.00ZFBW951,0,0,,SH,DFND,0,0,0,0,TRUE,1,028-05394,5,-30799,-29875,-0.00000026,DEL
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,COMPLETE SOLARIA INC,*W EXP 07/31/202,3674,TE,CSLRW,0001838987.0010.00ZCW8YD1,440,12382,,SH,DFND,12382,0,0,0,TRUE,1,028-05394,3,0,222,0,
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,GOLDEN ARROW MERGER CORP,*W EXP 07/31/202,2860,MA,GAMCW,0001841125.0010.010T16Q19,20726,108968,,SH,DFND,108968,0,0,0.00000018,TRUE,1,028-05394,11,0,6549,0.00000005,
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,NORTHVIEW ACQUISITION CORP,*W EXP 08/02/202,3841,IN,NVACW,0001859807.0010.014RM2C67,6990,135198,,SH,DFND,135198,0,0,0.00000006,TRUE,1,028-05394,9,0,5908,0.00000005,
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,OCCIDENTAL PETE CORP,*W EXP 08/03/202,1311,EN,OXY,0000797468.0010.UF008058A,1719862,39904,,SH,DFND,39904,0,0,0.00001472,TRUE,1,028-05394,15,0,166399,0.00000114,
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,SEMANTIX INC,*W EXP 08/03/202,7371,IN,STWWF,0001896049.0010.01922CT78,1005,74470,,SH,DFND,74470,0,0,0.00000001,TRUE,1,028-05394,7,0,111,0,
