issuerName,filing,submissionType,reportPeriod,filedDate,issuerTitleOfClass,filerCik,filerName,issuerQkid,value,QOQValue,shrsOrPrnAmt,QOQSshPrnAmt,portWgt,QOQPortWgt,qtrsHeld,newOrDeleted
CROCS INC,edgar/data/1281761/0001281761-24-000058.txt,13F-HR,20240630,20240731,COM,1281761,REGIONS FINANCIAL CORP,0001334036.0000.000BLY663,220807,3238,1513,0,0.00001678,0.00000027,2,
CROCS INC,edgar/data/1411133/0000950123-24-006635.txt,13F-HR,20240630,20240717,COM,1411133,KBC Group NV,0001334036.0000.000BLY663,216000,26000,1482,158,0.00652649,0.00049061,3,
CROCS INC,edgar/data/1966007/0001398344-24-013376.txt,13F-HR,20240630,20240731,COM,1966007,Applied Finance Capital Management  LLC,0001334036.0000.000BLY663,211175,211175,1447,1447,0.00009766,0.00009766,1,NEW
CROCS INC,edgar/data/1844148/0001172661-24-003038.txt,13F-HR,20240630,20240801,COM,1844148,Allegheny Financial Group LTD,0001334036.0000.000BLY663,209278,9108,1434,42,0.00060047,-0.00001727,2,
CROCS INC,edgar/data/1600307/0001951757-24-000628.txt,13F-HR,20240630,20240802,COM,1600307,SIGNET FINANCIAL MANAGEMENT  LLC,0001334036.0000.000BLY663,204316,2996,1400,0,0.00027559,-0.00000106,2,
CROCS INC,edgar/data/791540/0000791540-24-000003.txt,13F-HR,20240630,20240710,COM,791540,NBC SECURITIES  INC.,0001334036.0000.000BLY663,197000,12000,1355,64,0.17924751,0.00561016,3,
CROCS INC,edgar/data/2020066/0002020066-24-000005.txt,13F-HR,20240630,20240730,COM,2020066,Central Pacific Bank - Trust Division,0001334036.0000.000BLY663,182425,-25998,1250,-180,0.00021752,-0.00004117,1,
CROCS INC,edgar/data/1313360/0001313360-24-000008.txt,13F-HR,20240630,20240712,COM,1313360,SG Americas Securities  LLC,0001334036.000P.000BLY663,178000,8000,30000,10000,0.01037434,0.00219641,2,
CROCS INC,edgar/data/752798/0000752798-24-000006.txt,13F-HR,20240630,20240723,COM,752798,CONCOURSE FINANCIAL GROUP SECURITIES  INC.,0001334036.0000.000BLY663,156155,-7058,1070,-65,0.00009772,-0.00000756,23,
CROCS INC,edgar/data/937615/0000937615-24-000007.txt,13F-HR,20240630,20240719,COM,937615,NISA INVESTMENT ADVISORS  LLC,0001334036.0000.000BLY663,151924,14451,1041,85,0.00000955,0.00000062,18,
CROCS INC,edgar/data/1856022/0001856022-24-000005.txt,13F-HR,20240630,20240718,COM,1856022,Blue Trust  Inc.,0001334036.0000.000BLY663,143944,23296,1001,162,0.00001974,0.00000274,7,
CROCS INC,edgar/data/1793755/0001793755-24-000006.txt,13F-HR,20240630,20240731,COM,1793755,Banque Cantonale Vaudoise,0001334036.0000.000BLY663,113000,8000,775,43,0.0449086,0.00378605,3,
CROCS INC,edgar/data/1569395/0000905148-24-002019.txt,13F-HR,20240630,20240730,COM,1569395,Mirae Asset Global Investments Co.  Ltd.,0001334036.0000.000BLY663,99031,-3078255,668,-26169,0.00000493,-0.00006403,2,
CROCS INC,edgar/data/44365/0000044365-24-000003.txt,13F-HR,20240630,20240805,COM,44365,CENTRAL TRUST Co,0001334036.0000.000BLY663,96613,-5054,662,-45,0.00002366,-0.00000165,5,
CROCS INC,edgar/data/1456048/0001456048-24-000004.txt,13F-HR,20240630,20240729,COM,1456048,SIGNATUREFD  LLC,0001334036.0000.000BLY663,90341,9669,619,58,0.00001835,0.00000132,17,
CROCS INC,edgar/data/1992825/0001992825-24-000006.txt,13F-HR,20240630,20240731,COM,1992825,Farther Finance Advisors  LLC,0001334036.0000.000BLY663,89956,29085,609,191,0.00004359,0.00000656,6,
CROCS INC,edgar/data/1800513/0001800513-24-000004.txt,13F-HR,20240630,20240716,COM,1800513,TSFG  LLC,0001334036.0000.000BLY663,73000,1000,500,0,0.17066003,-0.01090323,15,
CROCS INC,edgar/data/1964538/0001964538-24-000003.txt,13F-HR,20240630,20240711,COM,1964538,Mendota Financial Group  LLC,0001334036.0000.000BLY663,58231,-28481,399,-204,0.00031214,-0.00019507,6,
CROCS INC,edgar/data/1767045/0001767045-24-000003.txt,13F-HR,20240630,20240731,COM,1767045,Lindbrook Capital  LLC,0001334036.0000.000BLY663,42177,9103,289,59,0.00003961,0.00000867,9,
CROCS INC,edgar/data/1965191/0001398344-24-013708.txt,13F-HR,20240630,20240805,COM,1965191,LGT Financial Advisors LLC,0001334036.0000.000BLY663,41155,603,282,0,0.00086814,0.00039719,4,
CROCS INC,edgar/data/1549275/0001162044-24-000739.txt,13F-HR,20240630,20240725,COM,1549275,Catalyst Capital Advisors LLC,0001334036.0000.000BLY663,40134,-1720985,275,-11972,0.00000926,-0.00041443,4,
CROCS INC,edgar/data/1019754/0001019754-24-000003.txt,13F-HR,20240630,20240731,COM,1019754,Smithfield Trust Co,0001334036.0000.000BLY663,34000,0,235,0,0.01783292,-0.00020254,16,
CROCS INC,edgar/data/1977992/0001977992-24-000003.txt,13F-HR,20240630,20240717,COM,1977992,Trivant Custom Portfolio Group  LLC,0001334036.0000.000BLY663,29188,428,200,0,0.0001793,-0.00000372,5,
CROCS INC,edgar/data/933429/0000933429-24-000015.txt,13F-HR,20240630,20240729,COM,933429,UMB Bank  n.a.,0001334036.0000.000BLY663,26999,1259,185,6,0.00000443,0.00000035,11,
CROCS INC,edgar/data/810121/0000810121-24-000003.txt,13F-HR,20240630,20240726,COM,810121,HARBOUR INVESTMENTS  INC.,0001334036.0000.000BLY663,26853,394,184,0,0.00000906,-0.00000032,8,
CROCS INC,edgar/data/1831316/0001831316-24-000003.txt,13F-HR,20240630,20240709,COM,1831316,Rise Advisors  LLC,0001334036.0000.000BLY663,25248,371,173,0,0.0001338,0.00000123,2,
CROCS INC,edgar/data/1943239/0001943239-24-000003.txt,13F-HR,20240630,20240716,COM,1943239,V-Square Quantitative Management LLC,0001334036.0000.000BLY663,24956,366,171,0,0.00004044,0.00000604,2,
CROCS INC,edgar/data/1555170/0001140361-24-033914.txt,13F-HR,20240630,20240724,COM,1555170,Allworth Financial LP,0001334036.0000.000BLY663,22962,2398,172,29,0.00000148,0.00000003,7,
CROCS INC,edgar/data/1586767/0001586767-24-000004.txt,13F-HR,20240630,20240806,COM,1586767,SRS Capital Advisors  Inc.,0001334036.0000.000BLY663,19265,18833,132,129,0.00001879,0.00001833,9,
CROCS INC,edgar/data/1455267/0001398344-24-013744.txt,13F-HR,20240630,20240805,COM,1455267,Parkside Financial Bank & Trust,0001334036.0000.000BLY663,18546,7473,127,50,0.00002905,0.00001127,30,
CROCS INC,edgar/data/1752579/0001752579-24-000002.txt,13F-HR,20240630,20240729,COM,1752579,INNEALTA CAPITAL  LLC,0001334036.0000.000BLY663,17805,17805,122,122,0.00005874,0.00005874,1,NEW
CROCS INC,edgar/data/1415912/0001178913-24-002312.txt,13F-HR,20240630,20240729,COM,1415912,Migdal Insurance & Financial Holdings Ltd.,0001334036.0000.000BLY663,16000,2000,112,17,0.00267151,0.00043121,4,
CROCS INC,edgar/data/1688184/0001688184-24-000001.txt,13F-HR,20240630,20240722,COM,1688184,MFA WEALTH ADVISORS  LLC,0001334036.0000.000BLY663,15178,15178,104,104,0.00003316,0.00003316,1,NEW
CROCS INC,edgar/data/1802451/0001802451-24-000003.txt,13F-HR,20240630,20240729,COM,1802451,HighMark Wealth Management LLC,0001334036.0000.000BLY663,14594,214,100,0,0.00008783,-0.00000124,18,
CROCS INC,edgar/data/1801720/0001420506-24-001193.txt,13F-HR,20240630,20240730,COM,1801720,Key Financial Inc,0001334036.0000.000BLY663,14594,214,100,0,0.00003498,-0.00000169,10,
CROCS INC,edgar/data/1409362/0001409362-24-000004.txt,13F-HR,20240630,20240716,COM,1409362,AdvisorNet Financial  Inc,0001334036.0000.000BLY663,14156,207,97,0,0.00001285,-0.00000056,7,
CROCS INC,edgar/data/1846532/0001420506-24-001130.txt,13F-HR,20240630,20240719,COM,1846532,Continuum Advisory  LLC,0001334036.0000.000BLY663,11967,2048,82,11,0.00001725,0.0000024,2,
CROCS INC,edgar/data/1767340/0001437749-24-022732.txt,13F-HR,20240630,20240715,COM,1767340,Aspire Private Capital  LLC,0001334036.0000.000BLY663,11675,-4574,80,-33,0.00003007,-0.00001274,6,
CROCS INC,edgar/data/1862864/0001862864-24-000005.txt,13F-HR,20240630,20240726,COM,1862864,Eagle Bay Advisors LLC,0001334036.0000.000BLY663,9778,431,67,2,0.00005922,0.00000029,2,
CROCS INC,edgar/data/1858740/0001858740-24-000003.txt,13F-HR,20240630,20240731,COM,1858740,Spire Wealth Management,0001334036.0000.000BLY663,9632,9632,66,66,0.0000034,0.0000034,1,NEW
CROCS INC,edgar/data/1597878/0001597878-24-000003.txt,13F-HR,20240630,20240725,COM,1597878,Capital Advisors  Ltd. LLC,0001334036.0000.000BLY663,9000,1000,62,3,0.01168068,0.00125197,10,
CROCS INC,edgar/data/2005547/0002005547-24-000005.txt,13F-HR,20240630,20240802,COM,2005547,Cetera Trust Company  N.A,0001334036.0000.000BLY663,8027,118,55,0,0.00005039,0.0000028,2,
